пульс_mean,пульс_std,пульс_min,пульс_max,пульс_slope,эмг_mean,эмг_std,эмг_min,эмг_max,эмг_slope,кгр_mean,кгр_std,кгр_min,кгр_max,кгр_slope,ээг_mean,ээг_std,ээг_min,ээг_max,ээг_slope,состояние
76.1216,2.2931,71.8392,80.8541,-0.0217,16.0468,1.2823,14.1065,18.1248,-0.0926,36.791,3.3091,31.3911,45.6831,-0.0662,30.2294,2.2054,26.3001,34.2198,-0.058,2
79.5973,2.0856,75.8493,83.069,0.042,23.6168,1.7147,20.381,26.8123,-0.0193,40.2988,4.0246,31.9581,45.8201,0.0328,14.9322,1.351,11.8119,17.3469,0.0109,2
82.3634,2.6454,77.8366,87.9648,-0.0052,23.8999,1.7836,21.0229,27.2422,-0.1503,46.9049,4.2125,38.3738,54.5455,-0.0523,30.5829,2.2911,25.5377,33.7087,0.0349,2
94.8353,2.3455,90.2048,98.205,0.1537,61.6552,3.3246,56.0281,67.341,0.2636,49.6053,5.033,41.4874,59.209,-0.1942,77.911,4.8068,67.6627,85.1517,0.1802,4
75.4129,2.2298,72.0344,79.1281,0.0022,13.1961,0.9981,11.6297,15.0914,-0.0072,11.8087,1.0005,9.6829,13.3118,-0.0112,52.4829,4.251,43.969,59.1264,0.1567,0
71.0611,1.9971,65.4258,75.0199,-0.0029,13.7246,1.1496,10.9677,15.5689,0.0821,25.1177,2.0478,20.8825,29.3658,-0.0173,53.1123,2.9058,46.3256,58.1623,-0.013,0
60.853,2.5205,57.3161,66.8161,-0.039,7.9336,0.4685,6.9618,8.9082,0.0036,16.6921,1.4172,14.0188,19.8798,-0.0007,18.9094,1.4577,16.5671,22.4932,0.0403,3
106.6908,2.7618,100.0546,110.8437,0.1759,62.8295,4.0619,56.9488,70.267,-0.091,43.4002,3.7527,35.3864,50.0522,0.1622,59.5631,4.3876,52.9426,68.6481,0.0161,4
109.4556,3.582,102.6324,115.5276,0.2135,74.9024,4.4948,65.0173,83.5637,0.1025,70.9042,7.5501,48.039,84.9382,0.4774,83.7889,6.6641,69.4666,100.0,-0.0621,4
66.8417,2.3228,60.1769,70.1923,-0.0334,15.9556,1.4172,12.441,18.6282,0.0565,27.4985,2.2065,23.6419,32.7168,-0.0195,25.2224,1.9913,20.8403,28.9235,0.0402,2
94.5598,2.3863,91.0616,100.6211,0.1445,44.1998,3.4772,37.8374,49.3046,-0.01,22.4347,2.4152,17.7995,27.683,0.0153,58.9114,4.0978,51.5942,65.3007,-0.0026,1
95.0969,3.1257,88.0487,101.0938,-0.0304,34.2147,2.5981,29.8203,39.0247,0.1274,58.0179,6.273,42.8241,69.4903,-0.1376,57.1241,4.5276,49.5322,69.4524,-0.2513,2
78.3549,2.4144,74.8107,83.4065,0.0555,12.4829,0.972,11.2326,14.66,0.086,15.7335,1.4349,13.0292,19.2827,-0.0079,51.1581,2.3601,45.4866,55.1526,-0.0256,0
79.9647,2.9333,74.4754,85.7205,0.1873,20.8376,1.533,17.5978,23.5634,-0.0952,42.7365,3.3091,35.6608,52.0049,-0.0774,21.1983,1.6944,18.277,23.5742,-0.0425,2
106.6458,2.2821,101.9598,109.7085,0.0033,45.0591,3.3617,38.0892,50.1034,-0.1118,69.2808,7.5857,49.2434,79.4853,-0.2326,64.461,5.5979,53.3657,76.4051,-0.3111,4
99.1335,3.0858,92.3122,105.867,-0.2375,42.6946,2.4973,39.3379,48.9763,0.0075,21.1924,1.7044,17.5697,24.3306,0.0951,64.7371,5.4308,55.7291,74.5058,0.2859,1
95.0977,2.8951,89.2025,101.3623,-0.0046,42.9121,3.774,35.3249,52.8029,0.1137,72.3141,4.4806,62.9869,83.7659,-0.3323,88.1501,6.5851,74.8416,100.0,-0.1183,4
69.1028,1.924,65.7894,72.7732,-0.0211,18.1464,1.7954,15.2706,21.3548,0.1077,25.926,2.0826,20.3546,29.634,-0.0464,33.305,2.3898,29.1399,39.3855,-0.1075,2
66.5042,2.2654,62.3201,71.9485,-0.0405,12.5501,1.0112,11.1506,14.9138,0.0529,19.7376,1.2403,17.2411,22.266,-0.0607,50.489,2.8697,44.9824,55.9994,0.0348,0
144.528,4.6721,134.2532,150.3243,0.1065,80.4971,5.1768,67.016,88.7567,-0.084,88.9783,7.2435,75.8937,100.0,-0.0956,84.0074,7.1511,69.8854,97.8818,-0.3204,5
94.8153,2.8929,89.4724,100.1378,-0.1307,59.7246,3.8007,52.7661,66.5539,0.0618,21.7263,2.1351,17.263,25.7808,-0.0935,53.9909,4.9727,43.6895,63.0577,0.1753,1
101.8465,3.2913,94.828,107.3231,-0.1262,66.6386,6.047,54.3936,80.8686,-0.014,76.6436,5.1013,62.9401,83.5306,0.254,77.1282,4.9842,68.5411,91.078,-0.4345,4
127.0944,3.9215,121.4078,136.9233,0.121,91.6211,5.5974,82.9055,100.0,-0.169,82.1654,8.0313,68.6652,100.0,0.1713,89.5737,4.1745,80.7685,96.767,-0.1644,5
62.2399,2.2982,56.6084,66.1647,0.0164,10.3985,1.004,8.8764,12.644,0.0006,9.3599,1.1585,6.9489,11.7023,-0.0009,30.6782,3.173,22.5312,37.3022,0.1028,3
92.8907,2.0725,90.2759,97.9771,0.0705,49.4783,3.3163,44.6437,56.1786,0.1216,29.8677,2.4709,24.068,34.4726,-0.0091,47.7445,3.8898,38.119,53.8916,0.0281,1
80.6988,3.0321,75.7203,85.8457,-0.1992,21.6466,2.121,16.7197,24.9437,0.1614,20.7096,2.1792,17.2922,24.9016,-0.0395,55.2904,5.8406,41.332,65.1222,-0.2272,0
83.4894,3.0932,79.3725,90.4445,0.0276,60.0332,5.3528,51.1817,68.6271,-0.1057,45.4736,6.5214,31.4571,58.543,-0.4326,64.6774,6.5161,50.0371,73.8555,-0.1975,5
70.3122,2.4976,65.7541,77.0746,0.0224,11.6335,0.9409,9.7378,13.7312,-0.0393,10.7472,0.9049,9.4074,13.2391,-0.0133,52.1156,2.8164,44.3232,56.2998,0.1187,0
82.8601,2.2092,78.323,87.2261,-0.0967,14.445,1.0087,12.1479,16.592,0.0513,20.5841,2.0542,17.536,24.902,0.0803,44.5021,3.2222,37.8006,51.5676,0.0286,0
97.9457,2.8788,92.1918,104.4799,-0.0998,48.5828,3.0995,42.1948,53.377,0.0701,45.2186,4.3841,36.3377,52.8985,0.1969,55.8842,4.0087,50.5545,65.7238,-0.0579,1
68.1151,2.0742,65.1087,73.2318,-0.0073,14.4952,1.2888,11.452,16.7815,0.038,9.9915,1.0381,8.4965,11.9348,0.0455,17.1241,1.5441,13.5876,19.2117,0.065,3
111.0443,2.8855,104.5116,115.7091,-0.0047,58.3923,3.4768,52.5885,68.5758,-0.1349,63.0127,4.2955,57.4884,71.5733,0.0478,79.0759,5.9785,67.6536,94.1066,-0.2708,4
102.4159,3.018,97.7298,109.0723,0.2435,47.7998,3.5289,40.607,55.2702,-0.0748,62.3834,3.408,53.9267,67.675,0.2079,87.213,3.7151,79.932,93.5896,0.1153,4
112.8747,2.4691,108.6011,118.222,0.0174,71.6019,4.5251,62.5915,81.0085,-0.0673,83.3731,6.4129,72.3518,97.6697,0.3213,70.9629,6.9087,52.7189,80.1044,0.2271,4
79.6297,2.1584,75.8786,85.5484,0.0649,10.6426,1.1455,8.8685,12.9621,0.0611,20.1067,1.889,16.6365,23.0129,-0.0775,37.5005,2.3613,34.0309,42.3102,-0.0476,0
88.1596,2.7657,83.0768,93.936,-0.1178,31.639,1.8455,28.627,35.2377,-0.1275,34.111,3.4731,28.6217,41.188,-0.2625,56.9172,3.7822,49.6408,63.5166,-0.2196,1
73.6147,1.5081,70.1025,76.3871,-0.0036,25.8629,1.6446,23.5241,29.3477,-0.0551,13.6525,1.2548,11.9366,16.2408,-0.0516,47.0828,3.5493,39.6883,53.7184,0.1152,0
104.8142,3.3132,99.1316,110.0572,-0.0867,64.6196,4.4443,54.6395,74.629,-0.1797,59.5017,5.3503,50.1462,72.0038,-0.4083,66.4925,3.9196,60.5279,75.1376,-0.1378,4
112.9108,3.285,106.6908,119.6101,0.0242,65.6154,4.1385,57.1761,71.7897,-0.1045,84.929,7.812,70.5467,98.5145,0.1162,81.1217,5.126,73.8161,94.0167,-0.0195,5
127.0484,3.7323,119.4088,133.8447,0.0712,78.6538,6.576,68.9539,90.4323,-0.4126,90.5776,7.2641,76.2934,100.0,-0.2793,96.4389,3.6559,89.1916,100.0,0.051,5
64.5673,1.5783,61.2882,68.03,0.0119,9.9039,0.907,7.5235,11.8546,-0.0487,6.6646,0.7654,5.099,8.073,-0.0202,17.7882,1.4596,15.4156,21.3479,0.0175,3
72.291,2.2106,67.607,75.5758,0.089,17.7382,1.7184,14.8156,20.3095,0.0054,14.3566,0.957,12.2776,15.8732,-0.0135,31.8768,2.9271,25.6626,36.9499,0.0546,0
99.5184,2.3234,96.1398,105.5422,0.0211,37.0717,2.9178,30.7785,41.9196,0.0967,33.3151,3.6263,27.2958,43.281,-0.0542,50.1378,2.6393,45.1383,53.6217,-0.0034,1
65.1249,1.4467,62.1197,67.4658,-0.0208,8.4844,0.7825,7.0579,9.9134,0.0505,10.8641,1.0944,9.0576,13.45,0.0272,35.4299,2.5137,29.8396,41.3354,-0.0123,3
76.1293,2.1847,71.6233,80.3249,-0.1145,17.7242,1.2702,14.049,20.41,-0.0097,12.3243,0.9452,10.9556,14.2511,0.0441,45.7225,3.3588,37.3173,50.4242,-0.2615,0
82.0175,2.7646,76.8321,87.81,0.1077,18.7043,2.1397,14.1439,21.0613,0.0666,25.4835,3.3688,18.345,31.9185,-0.0528,32.8905,2.548,26.5734,37.2286,0.0217,0
106.3037,3.4393,100.7984,111.1778,-0.085,82.7071,3.9863,73.067,90.0561,-0.1537,85.582,5.5908,73.8236,96.9851,-0.2563,74.0673,5.8327,63.5041,84.909,0.2643,4
71.671,1.9222,69.1584,78.0731,-0.0455,41.2171,3.4144,36.7849,47.4818,-0.187,19.7316,2.4206,15.455,24.4426,-0.0952,24.6332,1.708,21.0648,28.1808,-0.1201,2
102.9705,3.0518,97.1237,107.4701,-0.0411,68.0423,6.2769,57.8468,82.8831,-0.3513,73.5012,7.4571,58.1033,85.8537,0.3447,81.4834,5.747,67.621,89.3082,-0.4555,4
96.2546,2.3801,91.3159,102.1546,-0.0203,37.5711,2.6614,31.7056,42.397,0.0014,32.8847,2.9228,26.7887,40.2614,0.108,70.4953,4.7197,61.7952,79.5041,-0.0383,1
103.1587,4.2498,97.1609,111.9566,-0.166,76.7019,5.8794,67.9813,87.173,-0.4186,83.3402,5.1521,75.4375,94.6182,-0.2381,70.5705,5.1283,60.546,80.6339,0.3088,4
152.2058,4.5723,141.6252,160.7849,0.2044,84.6929,6.886,69.4357,95.9672,0.1625,98.9806,1.7191,93.5685,100.0,0.0923,79.1087,4.8914,69.1474,89.0682,-0.3365,5
74.9909,2.6394,68.7033,80.2276,0.076,19.977,1.4787,16.9212,23.4314,0.003,25.9923,2.3425,21.5925,33.286,0.0422,33.4692,2.7671,28.0228,39.0526,0.0559,2
53.0753,1.5248,50.894,57.6725,0.1026,11.8232,0.8158,10.5298,13.9616,-0.0177,3.5468,0.5441,2.3654,4.7905,-0.0031,15.3,1.0377,13.3027,17.0485,0.0055,3
71.8104,1.8928,69.0081,74.7442,0.0018,12.6747,1.0269,10.8545,14.2627,0.0292,13.1461,1.1937,11.2906,15.3326,0.0383,49.8301,4.2295,42.9756,62.4785,-0.0545,0
84.509,2.6525,79.5135,88.7808,0.1687,13.7943,1.4043,11.7394,16.1615,0.0628,24.9685,2.7967,16.217,29.65,0.0895,40.0659,2.9228,34.9574,46.3142,0.0122,0
116.8534,2.9564,111.7656,125.2846,0.0351,66.254,4.6372,56.375,75.3337,-0.0886,61.4052,3.4616,54.7234,67.4126,-0.1523,84.2188,7.4404,70.4456,96.6358,-0.2254,4
87.5286,2.2627,83.7985,91.179,-0.0173,38.2639,2.9198,33.2557,42.9246,-0.0567,37.0173,3.2191,30.5298,42.1563,0.0582,67.1291,4.2981,57.7193,75.1698,-0.1602,1
62.6699,1.0926,61.1552,65.4111,-0.0181,11.8211,1.0562,9.7571,13.9375,-0.0154,6.0139,0.6615,4.7182,7.2298,0.0093,28.113,1.2726,26.4529,31.0053,0.0159,3
130.1167,3.7113,124.6019,136.6523,-0.353,95.2964,5.2369,80.2321,100.0,-0.2244,71.6528,5.1973,59.2332,78.3168,-0.2712,91.0456,4.7789,78.9138,100.0,0.0536,5
65.3381,1.9315,60.7821,68.2432,0.0493,9.4233,0.9444,7.7551,11.4445,0.0316,11.0702,1.4786,8.0597,13.9881,0.0016,32.603,4.2388,20.8531,37.5946,0.1304,0
131.6148,3.1853,123.4076,136.2764,-0.1015,91.0313,6.3402,73.7086,100.0,-0.3585,96.1686,4.9047,82.8896,100.0,0.1841,94.5903,5.4471,80.7162,100.0,0.3434,5
66.4791,3.7293,59.1007,74.5338,0.1514,8.7739,0.8163,7.2001,10.3414,0.028,11.254,1.5887,8.8506,14.6345,0.0657,29.3189,2.8002,22.7589,35.7288,0.0346,3
90.0202,2.6395,85.6016,96.2581,0.1591,35.3974,1.505,33.3155,39.5321,-0.0384,29.795,2.6635,25.636,33.6803,-0.1893,67.6577,5.0723,58.2219,78.1586,0.1177,1
79.7281,1.7946,76.2818,82.8374,-0.0837,11.1136,0.828,10.0132,13.1656,0.0366,23.7159,1.5018,20.1689,27.6191,-0.0432,29.4362,2.8096,23.289,36.0474,0.0577,0
91.1326,3.1323,86.5205,98.802,0.1551,52.4585,4.0076,46.0096,59.2202,0.0031,39.1606,3.569,31.1552,43.5197,0.0427,79.9558,6.0146,64.0248,89.8798,0.4074,4
79.1451,2.4014,73.7774,82.3376,0.2575,20.3592,1.793,17.1738,23.5496,0.0759,14.7661,0.8831,13.3257,16.4995,0.0063,39.3664,2.2045,34.0127,42.5985,0.0129,0
70.4985,2.0066,66.8979,74.3609,-0.1292,41.2421,2.8297,33.7508,47.6336,-0.0827,45.4045,4.9887,37.3266,56.2004,0.0055,9.976,0.918,8.4365,12.7025,0.015,2
83.4565,2.7119,78.0259,88.5917,0.0509,29.8045,1.7679,26.4618,33.5253,-0.0601,39.5358,3.5327,30.1592,45.8119,0.1068,15.9398,0.8137,14.2189,17.1806,-0.0027,2
83.5447,2.0171,80.2638,87.4646,0.0165,14.9282,1.3508,12.1816,16.8721,-0.0717,11.4302,1.0352,8.8606,13.7585,-0.0152,35.0234,2.7924,29.7777,39.8667,0.0055,0
78.3592,2.2756,72.0148,81.2764,0.0142,40.5882,2.5342,35.574,46.5677,0.0114,37.6591,2.8144,31.8371,42.7236,0.1867,16.472,1.3136,13.8438,19.8883,0.0439,2
133.5512,3.559,126.9241,140.8442,0.0731,95.2786,4.7879,85.0277,100.0,0.0811,76.2584,6.7763,60.8966,87.609,-0.0551,92.3015,6.9519,74.862,100.0,0.2268,5
56.6532,1.8843,53.292,59.9342,-0.1269,10.1867,0.7218,8.876,11.6316,0.0198,3.4617,0.5253,2.2845,4.1837,-0.0451,22.126,2.0133,18.298,27.8063,-0.0399,3
87.1467,2.8864,81.5802,91.459,0.0066,19.1756,1.3813,15.9069,21.4434,0.0055,13.8304,1.6494,11.1695,16.703,-0.1051,45.6415,3.7374,38.223,51.969,0.3262,0
100.0579,2.838,95.7154,107.088,-0.0631,54.5674,4.1866,46.5173,63.0344,0.1252,32.2825,1.7806,28.8276,35.1105,0.0003,67.7324,4.6907,58.4001,75.3229,-0.1439,1
72.7063,1.9181,69.9708,76.963,0.0289,12.4531,1.2908,10.4522,14.6237,0.0096,41.7645,3.427,35.6391,48.7103,0.188,12.9105,1.3249,9.7463,15.467,0.0043,2
79.3365,1.6638,77.0666,82.3627,0.0671,18.6634,1.9555,15.277,22.937,0.0027,32.312,2.2326,27.4717,35.6231,0.1397,12.2625,1.0459,9.8495,13.7444,0.0363,2
82.6098,2.3267,78.4305,85.5082,-0.0537,46.1306,3.3556,39.9056,53.4231,0.1093,40.9434,3.3027,36.7459,50.4134,0.0333,54.3707,4.1868,47.5649,65.418,0.2204,1
86.4765,2.6716,79.7026,90.2901,0.1356,10.1971,1.154,7.552,12.478,0.0091,44.7793,3.5732,36.3887,51.2681,0.0731,34.9122,2.3108,29.8084,41.201,-0.2016,2
72.8407,1.5659,69.9985,75.6577,0.038,38.765,3.6134,33.6607,45.6162,-0.1667,35.019,2.976,28.2592,41.4286,0.0113,29.2244,2.3035,24.9782,32.9942,-0.0925,2
61.8936,1.8914,58.8567,65.3222,0.1241,14.3437,0.9456,13.1406,16.28,0.075,5.4954,0.6966,4.2133,6.6729,0.0475,27.9771,1.5737,23.9057,30.1217,0.0434,3
128.0777,3.3131,121.5457,134.5557,0.2991,84.1209,6.8339,73.2968,97.8581,0.3298,98.2631,2.3516,93.1427,100.0,0.0228,79.7568,5.4219,72.1371,91.5968,0.3486,5
117.3954,3.5836,110.2149,123.1887,-0.0467,64.8868,5.3641,55.4882,74.6774,-0.5206,56.9381,5.6841,44.1707,70.1137,-0.0329,73.7755,4.4044,65.7263,82.9829,-0.1049,4
96.6717,3.1422,86.3022,100.8561,0.0788,47.6936,4.8988,39.151,61.0841,-0.1164,40.5009,3.7678,35.3618,47.6352,-0.0061,66.9832,7.2155,52.799,79.4928,-0.1615,1
93.0094,3.1553,85.1855,98.625,0.0735,48.7638,3.6772,39.0837,54.71,-0.1971,27.4308,2.3152,22.6317,33.2066,0.0724,51.9451,3.1436,45.2728,57.0068,-0.0758,1
75.688,2.4045,69.0725,79.6488,0.0218,24.3841,2.0653,20.4982,28.2155,0.0498,10.8732,1.0185,8.6934,12.464,0.0491,51.2651,2.8923,44.0339,56.2338,0.2107,0
97.6162,3.4751,89.1936,105.8312,0.0522,48.7173,3.3358,42.6932,56.8457,-0.0105,32.5399,1.9341,29.1928,35.5492,-0.0798,57.6946,4.6196,49.2147,65.9017,-0.234,1
97.8587,2.8602,93.7652,102.7935,0.0237,55.4274,4.3274,48.5386,64.3171,-0.1944,62.1281,5.1316,50.7387,70.2908,0.141,73.3548,3.581,64.4855,78.093,-0.0584,4
97.7602,2.3122,92.0548,101.6817,-0.0961,41.5453,3.2503,35.3775,47.478,-0.0756,42.5151,3.2419,32.6722,46.7469,0.0815,52.0576,3.593,46.3686,59.4025,0.0152,1
78.5186,1.9798,74.295,81.3046,0.0227,25.0696,2.296,20.7833,28.7952,-0.0039,45.1407,4.6654,37.5992,54.3291,0.0803,19.0694,1.1033,16.4304,21.0108,0.0006,2
65.6982,2.7292,60.7391,72.1981,0.0795,7.0173,0.7846,5.333,8.576,-0.0017,9.1363,1.0639,6.7975,11.0741,0.0242,29.9647,3.8951,21.8935,37.6004,-0.164,3
70.2173,2.5793,65.0368,74.557,-0.02,31.8929,2.5056,26.7478,38.4649,0.1706,32.8036,2.0893,27.6968,36.3022,-0.0606,16.6783,0.9911,14.5947,18.025,-0.0115,2
80.8761,2.4028,76.1412,84.834,0.0425,15.6558,1.4269,13.2324,18.0121,0.0376,23.5971,1.9005,20.5406,26.97,0.1332,49.4156,3.1727,42.3948,53.8379,-0.123,0
58.7625,1.643,55.1174,61.8757,-0.0395,17.1957,1.28,14.7797,19.6138,0.013,12.4718,0.8073,11.1392,14.0814,0.0128,31.4459,2.5644,26.7388,35.7895,0.0316,3
93.5831,2.7491,88.3868,97.3442,0.0486,44.1149,2.1862,39.1823,48.2189,0.0575,22.4833,2.2837,18.8253,26.9519,0.148,52.3886,3.6929,45.0812,60.3704,-0.0581,1
64.2017,2.2465,60.6259,68.1705,0.159,6.1089,0.9144,4.193,8.0748,-0.013,13.2057,1.5114,10.6608,16.3595,0.046,42.1041,3.3624,35.6206,46.9859,0.1441,0
75.8425,2.0417,71.1422,78.7786,0.1484,11.1839,1.1282,8.887,13.236,-0.0438,41.6238,3.9327,34.5908,49.9637,-0.097,31.3359,2.2482,27.3299,35.823,-0.0172,2
86.3836,2.6073,81.391,91.2336,-0.1234,56.1179,4.6806,46.9435,64.2523,0.1316,32.222,2.8367,24.535,37.7485,0.0418,59.4369,3.4327,51.0181,65.1582,-0.0541,1
82.4354,2.0997,79.129,86.4729,-0.0618,33.1753,2.2847,28.939,38.4291,0.0229,37.1015,3.5771,28.9822,43.1312,-0.0921,13.1638,1.3044,9.9652,15.6348,-0.0497,2
117.0039,5.6747,104.1742,128.0994,-0.0117,87.3209,7.9531,72.3095,100.0,0.0847,77.9104,6.3335,66.5661,88.0088,0.0524,80.741,7.185,60.1818,91.4693,0.3126,5
118.5244,3.7849,110.3292,127.7767,0.0044,82.1353,5.5042,71.993,90.792,-0.0908,84.8876,9.9879,66.0956,100.0,-0.0262,82.9469,5.5691,73.0232,91.9726,0.0904,4
70.0222,2.7484,65.8117,77.6409,-0.1849,20.3221,1.4576,18.2187,23.1386,-0.0563,22.0262,1.7428,19.3933,25.3023,0.0565,54.3122,3.7416,47.6216,61.3905,-0.1665,0
88.4658,2.5711,84.5288,93.6324,-0.0016,43.1643,3.0048,37.5247,48.5192,0.1051,20.323,2.0309,15.7067,23.1852,-0.0614,59.582,3.1882,53.3233,65.1664,-0.1407,1
88.9471,2.6722,83.7055,93.4896,-0.0209,55.3875,4.0794,47.4089,61.8628,-0.0295,39.9702,3.9287,32.9314,46.6014,-0.0756,55.2487,4.1388,45.0681,62.4706,-0.2577,1
93.0789,2.9759,86.4248,100.1191,-0.0475,50.1739,2.8336,45.2073,58.1789,-0.0941,32.6235,3.1527,27.3729,39.2061,-0.1109,53.9583,3.5999,44.6911,59.0119,0.0145,1
88.8669,2.7408,84.5307,92.9689,-0.0876,16.9767,1.2185,14.486,18.9123,0.0682,35.8412,2.4165,29.1032,39.5498,-0.1104,14.1976,1.045,11.841,15.8896,0.0001,2
70.7977,2.4093,66.1489,74.7835,-0.0763,18.9459,1.4471,16.5863,21.777,-0.11,23.5752,1.5804,20.4221,25.7616,-0.0016,35.5207,2.3362,30.9899,41.0592,-0.0114,0
84.4806,2.7441,79.1311,89.7022,-0.0758,12.6959,0.9323,10.1947,14.901,0.0679,16.664,1.411,14.1612,19.1626,-0.0105,50.1055,3.4895,44.6567,57.1284,0.0357,0
71.1624,2.7658,63.3539,75.9598,0.0664,18.7118,1.7066,14.7475,21.8827,-0.0419,23.1718,1.9621,20.1477,26.7195,0.1159,25.2621,2.0761,21.7945,30.4511,-0.0513,2
68.6789,1.8874,64.3106,71.7459,-0.0036,21.8523,1.366,18.0016,23.8463,0.0003,19.5913,1.9369,14.6688,22.2529,0.0932,50.4931,4.4468,43.6257,60.0549,0.2189,0
89.2606,2.571,82.7929,94.6415,0.0109,62.4788,3.7445,53.8866,69.3522,-0.2546,25.3333,2.9424,20.5643,33.6832,-0.0325,63.994,4.162,58.7153,76.3403,-0.066,1
54.034,1.5262,50.277,56.7615,-0.0626,4.6059,0.3904,3.7837,5.5633,-0.0114,8.6119,0.8697,6.9934,10.1044,-0.0126,21.8523,1.1355,19.7005,25.174,0.0651,3
143.252,4.011,137.5688,152.9704,0.1303,63.4497,4.9596,54.6506,76.915,0.0365,74.238,6.0135,66.0099,85.1981,-0.0968,85.328,5.6396,77.0823,93.7151,0.2281,5
59.7134,1.6452,56.6147,62.4762,-0.0512,4.2337,0.5723,3.1053,5.3214,0.0428,2.2779,0.6939,0.604,3.9497,-0.0194,13.3838,1.3211,11.8739,16.2234,0.0301,3
92.4203,2.8816,87.0076,98.8231,-0.0699,24.2029,2.3981,17.8314,28.0728,0.2342,33.3227,3.4542,27.3597,39.8608,-0.1388,67.1181,4.3512,59.633,77.5542,0.2253,1
63.2987,1.8279,59.8538,68.4726,-0.042,3.1989,0.4781,2.298,4.43,0.034,2.7848,0.5762,1.4966,3.6138,-0.0149,22.7793,1.6952,20.0578,26.3858,0.0357,3
96.1707,3.9843,89.0855,101.9136,-0.0086,46.6233,4.9695,37.5869,56.2077,-0.1301,41.8469,4.6738,35.0035,52.2422,-0.1784,68.9732,5.1536,56.9763,77.5021,0.1202,4
